SourceFile,GPSLatitude,GPSLongitude,Model,Make,LensModel,ImageUniqueID,DateTimeOriginal,Software
foto_01.jpg,"41 deg 53' 24.72"" N","12 deg 29' 31.92"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_001,2025:01:10 09:30:15,Apple Camera 17.5
foto_02.jpg,"41 deg 54' 10.44"" N","12 deg 27' 12.24"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_002,2025:01:14 11:20:40,Apple Camera 17.5
foto_03.jpg,"41 deg 53' 54.96"" N","12 deg 28' 36.84"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_003,2025:01:20 14:45:22,Apple Camera 17.5
foto_04.jpg,"41 deg 53' 30.84"" N","12 deg 29' 32.28"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_004,2025:01:25 16:10:08,Apple Camera 17.5
foto_05.jpg,"41 deg 54' 3.24"" N","12 deg 28' 59.88"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_005,2025:02:02 10:05:33,Apple Camera 17.5
foto_06.jpg,"41 deg 54' 7.92"" N","12 deg 27' 24.12"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_006,2025:02:08 08:55:17,Apple Camera 17.5
foto_07.jpg,"41 deg 53' 2.40"" N","12 deg 29' 16.80"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_007,2025:02:15 19:25:44,Apple Camera 17.5
foto_08.jpg,"41 deg 54' 36.00"" N","12 deg 29' 42.00"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_008,2025:02:22 13:40:09,Apple Camera 17.5
foto_09.jpg,"41 deg 52' 57.00"" N","12 deg 28' 35.04"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_009,2025:03:01 17:15:28,Apple Camera 17.5
foto_10.jpg,"41 deg 53' 35.16"" N","12 deg 28' 58.08"" E",iPhone 15 Pro Max,Apple,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,P6_IMG_010,2025:03:08 20:30:51,Apple Camera 17.5
